"cluster_code","province_name","district","n","n_str","max_str","n_hh","max_hh","n_dwelling","n_non_dwelling","n_subs"
"827","Khyber PakhtunKhwa","Malakand",11,8,8,11,11,11,0,1
"828","Khyber PakhtunKhwa","Swat",419,412,260,416,261,418,1,2
"832","Khyber PakhtunKhwa","Swat",448,252,252,440,267,448,0,2
"837","Khyber PakhtunKhwa","Swat",319,316,230,319,230,319,0,2
"843","Khyber PakhtunKhwa","Swat",154,3,3,142,142,144,10,1
"847","Khyber PakhtunKhwa","Swat",476,335,196,470,247,470,6,2
"849","Khyber PakhtunKhwa","Swat",80,77,77,80,80,80,0,1
"851","Khyber PakhtunKhwa","Swat",146,79,79,146,146,146,0,1
"865","Khyber PakhtunKhwa","Mardan",131,112,112,131,131,131,0,1
"867","Khyber PakhtunKhwa","Mardan",148,125,125,130,130,133,15,1
"871","Khyber PakhtunKhwa","Mardan",127,125,125,127,127,127,0,1
"872","Khyber PakhtunKhwa","Mardan",114,114,114,114,114,114,0,1
"880","Khyber PakhtunKhwa","Mardan",195,1,1,191,191,193,2,1
"882","Khyber PakhtunKhwa","Mardan",215,209,209,196,196,197,18,1
"883","Khyber PakhtunKhwa","Mardan",153,153,153,153,153,153,0,1
"889","Khyber PakhtunKhwa","Mardan",362,211,211,291,146,291,71,2
"895","Khyber PakhtunKhwa","Swabi",298,281,181,286,185,286,12,2
"90","AJK","Neelum",274,219,219,205,205,205,69,1
"901","Khyber PakhtunKhwa","Swabi",289,266,266,263,263,263,26,1
"907","Khyber PakhtunKhwa","Swabi",298,263,263,260,260,262,36,1
"91","AJK","Neelum",59,46,44,55,53,55,4,2
"913","Khyber PakhtunKhwa","Charsadda",143,1,1,140,140,142,1,1
"914","Khyber PakhtunKhwa","Charsadda",164,148,148,156,156,164,0,1
"920","Khyber PakhtunKhwa","Nowshera ",340,1,1,282,282,289,51,1
"921","Khyber PakhtunKhwa","Nowshera ",164,157,157,115,115,124,40,1
"926","Khyber PakhtunKhwa","Peshawar",103,95,95,97,97,97,6,1
"927","Khyber PakhtunKhwa","Peshawar",92,91,91,56,57,56,36,1
"932","Khyber PakhtunKhwa","Peshawar",275,114,114,183,183,189,86,1
"933","Khyber PakhtunKhwa","Peshawar",151,144,144,121,121,123,28,1
"938","Khyber PakhtunKhwa","Peshawar",81,72,72,78,78,78,3,1
"944","Khyber PakhtunKhwa","Peshawar",115,115,115,114,114,115,0,1
"950","Khyber PakhtunKhwa","Peshawar",135,99,99,111,111,116,19,1
"99","AJK","Bagh",293,19,19,292,292,292,1,1
